position|id|FullName|worth_BUSD|worthChange_MUSD|Industry|Company|n_age|gender|image
45|9165|LEONARDO DEL VECCHIO|21.2|0.006|Fashion & Retail |eyeglasses|83|Male|https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
46|6599|DIETER SCHWARZ|20.9|0.0|Fashion & Retail |retail|78|Male|https://specials-images.forbesimg.com/imageserve/5a7f931f31358e4955ad1e20/416x416.jpg?background=000000&cropX1=4&cropX2=1440&cropY1=4&cropY2=1440
47|7556|THOMAS PETERFFY|20.3|0.0|Finance and Investments |discount brokerage|73|Male|https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
48|6663|THEO ALBRECHT, JR.|20.2|0.0|Fashion & Retail |Aldi, Trader Joe's|67|Male|https://specials-images.forbesimg.com/imageserve/59d55c694bbe6f37dda00008/416x416.jpg?background=000000&cropX1=904&cropX2=2836&cropY1=905&cropY2=2839
49|3775|LEN BLAVATNIK|20.2|-0.001|Diversified |diversified|61|Unknown|https://specials-images.forbesimg.com/imageserve/59d50f2831358e542c034f95/416x416.jpg?background=000000&cropX1=963&cropX2=2028&cropY1=234&cropY2=1299
50|7781|HE XIANGJIAN|20.1|0.001|Manufacturing |home appliances|75|Male|https://specials-images.forbesimg.com/imageserve/5a7cb54ca7ea431690130761/416x416.jpg?background=000000&cropX1=210&cropX2=1953&cropY1=660&cropY2=2404
51|1743|LUI CHE WOO|20.1|0.0|Gambling & Casinos |casinos|89|Male|https://specials-images.forbesimg.com/imageserve/5a7e7153a7ea431690132553/416x416.jpg?background=000000&cropX1=1591&cropX2=4746&cropY1=14&cropY2=3168
52|2708|JAMES SIMONS|20.0|0.0|Finance and Investments |hedge funds|80|Male|https://specials-images.forbesimg.com/imageserve/5a8d914e4bbe6f2652f61c2f/416x416.jpg?background=000000&cropX1=2670&cropX2=3520&cropY1=341&cropY2=1190
53|8876|HENRY SY|20.0|0.0|Diversified |diversified|93|Male|https://specials-images.forbesimg.com/imageserve/5a8ed22d31358e4955ae072b/416x416.jpg?background=000000&cropX1=568&cropX2=3083&cropY1=131&cropY2=2647
54|6621|ELON MUSK|19.9|0.0|Automotive |Tesla Motors|46|Male|https://specials-images.forbesimg.com/imageserve/5a8d90fd4bbe6f2652f61c15/416x416.jpg?background=000000&cropX1=0&cropX2=1999&cropY1=159&cropY2=2159
